Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
Beacon,In Plain Sight Art,2009,fused glass and anodized aluminum,," 8300 Mykawa Rd. Houston, Texas, 77033",Southeast Police Station,HPD,D
Lumen,In Plain Sight Art,2009,fused glass photo-collage,," 8300 Mykawa Rd. Houston, Texas, 77033",Southeast Police Station,HPD,D
Untitled - 1966,Morio Shinoda,1966,Metal,,"1200 Travis Street, Houston, TX 77002",Police Headquarters,HPD,I
Houston Police Officers' Memorial,Jesús Bautista Moroles,1990,"Granite, Earth, Water",,"18-3600 Allen Parkway Houston, TX 77002",Buffalo Bayou Park  ,HPD,I
Your Loyal Mighties,Sharon Engelstein,2010,"Steel, expanded polystyrene, Glass Fiber Reinforced Concrete (GFRC)",,"5005 Little York Road, Houston, TX 77016",Mounted Patrol Stables and K-9 Training Facility,HPD,B
Order Through Law,Gordon Huether,2011,Dye printed photographs on Aluminum,,"7277 Regency Square Boulevard Houston, TX 77036",Midwest Police Station,HPD,J
Justice with Mercy,Gordon Huether,2011,Powedercoated steel and stainless steel,,"7277 Regency Square Boulevard Houston, TX 77036",Midwest Police Station,HPD,J
"Geometric Mouse, Scale X",Claes Oldenburg,1971,Painted Steel,Donated Anonymously to the City of Houston,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building Exterior,HPL,I
Total Trust,Ann Armstrong,1981,Bronze,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"8501 West Montgomery Road, Houston, TX 77088",Acres Home Branch Library,HPL,B
Untitled,Josie Mendoza,1982,Paint on Canvas mounted on Board,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"702 Kress Street, Houston, TX 77020",Tuttle Library Branch - Meeting room,HPL,B
The Light Within,Jana Vander Lee,1982,"Linen, Wool",Art in Public Places Project made possible by the National Endowment for the Arts and a Conmmunity Development Block Grant,"9525 Irvington Boulevard, Houston, TX 77076",Moody Library Branch - Lobby,HPL,H
ART/LIFE,"Bert L. Long, Jr.",2008,Acrylic on Canvas,,"2510 Willowick Road, Houston, TX 77027",Looscan Neighborhood Library,HPL,G
Inner City 1996,Ibsen Espada,1996,Tempera and Acrylic on rice paper mounted on canvas,"Gift of the Museum of Fine Arts, Houston with funds provided by the Lila Wallace-Reader's Digest fund.  Additional support has been provided by the Charles E. Culpeper Foundation, the Edward and Betty Marcus Foundation, and the National Endowment for the ","500 McKinney St. Houston, TX 77002",Central Library - Jones Building 6th Floor Storage,HPL,I
Untitled - Children Stand on Tree,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
John E.T. Milsaps,Grace Spaulding John,1932,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Untitled - Woman Seated in Chair,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
The Prophet,"Earlie Hudnall, Jr.",1980,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Untitled - Wedding Scene,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Untitled - Two Eggs in a Nest,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
Untitled - Row of Settlement Housing,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Untitled - Neighborhood Grocery,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Untitled - Horse,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Carnegie Columns,,1980-1984,Building fragments,,"1050 Quitman Street, Houston, TX 77009",Carnegie Branch Library - outside in adjacent park,HPL,H
Untitled - Five Boys,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Untitled - Aged Man,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
Untitled - Seascape,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
Untitled - Boys Marching in a Parade,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Untitled - Chickens Pecking,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Juan Seguin Bust,,,Limestone,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Stephen F. Austin,John O'Brien,,Marble,Donated by Major Ingham S. Roberts,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Girl Seated On Bench,,,Textile,,"5300 Caroline Street, Houston, TX 77004",Clayton Geneaological Branch Library - Main House - Second Floor,HPL,D
Mr. and Mrs. William Clayton,Floyd Embry,,Charcoal on Paper,,"5300 Caroline Street, Houston, TX 77004",Clayton Geneaological Branch Library - Stairs,HPL,D
Belle Sherman Kendall,,Unknown,Oil on Canvas,,"14330 Memorial Dr, Houston, Texas 77079",Kendall Branch Library,HPL,G
Arnold and Etta Hillendahl,,Unknown,Oil on Canvas,,"2436 Gessner Rd, Houston, TX 77080",Hillendahl Branch Library - Meeting room,HPL,A
Archbishop Flores,Jose Perez,Unknown,Oil on Canvas,,"110 North Milby St.Houston, Texas 77003",Flores Branch Library,HPL,I
Trumpeters and Young Girls Dancing - after original in the Florentine Cathedral,,,Plaster,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Dance of the Muses,,,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Dr. Lonnie E. Smith,,,Photograph,,"3624 Scott Street, Houston, TX 77004",Smith Branch Library,HPL,D
Mother with Sons,"Earlie Hudnall, Jr.",1973,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
J. Frank Jungman,,,Paint on Canvas,,"5830 Westheimer Road, Houston, TX 77057",Jungman Branch Library,HPL,G
Untitled - Man and Boy,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
Color Wall 2,Michael John Smith,2003,"Electronics, Lights on Metal Screen",,"7405 Stella Link Road, Houston, TX 77025",McGovern-Stella Link Branch Library - Teen room,HPL,G
Madonna del Cardellino,,,Marble,,"1050 Quitman Street, Houston, TX 77009",Carnegie Branch Library,HPL,H
Sam Houston,Elisabeth Ney,1893,Plaster,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Venus De Milo,,1904,Plaster reproduction/wood base,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Rembrandt - after original in LOUVRE,Emma Richardson Cherry,1905,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Norma Meldrum Plaque,Thomas Hudson Jones,4/6/1905,Bronze,Donated to the Library by Mr. and Mrs. N. S. Meldrum.,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Sappho,,1906,Bronze reproduction,donated by Mrs. M.T. Jones in 1906,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
